uid,steps_per_day,avg_heart_rate,heart_rate_variability,sleep_duration,sleep_quality,screen_time_min,phone_unlocks,ambient_light_exposure,time_outdoors,avg_noise_level,calendar_busy_hours,study_focus_time,social_interactions,exercise_minutes,caffeine_intake_mg,hydration_liters,commute_minutes,study_breaks,screen_time_night,mbti_type,self_reported_stress,self_reported_mood,motivation_level,academic_pressure,social_support,stress_score,anxiety_score,mood_score,burnout_risk
1,8741.785382528082,88.99355436586002,49.87232587538428,4.710630930547131,2.636506395035066,269.14883815727563,27.14796604417281,282.8148065848301,108.01848417682636,67.6540215601335,3.6430105390255565,1.2327304689985845,5.849628115171384,45.293409243048394,142.0607235561451,2.2139460701246425,33.189609390634644,7.640715326766811,119.31011140136623,ESTP,2,3,3,1,1,4.847998537259789,3.3359374657043492,1.0,1
2,7154.339247072038,84.24633682912769,57.83221993926723,5.967537987064598,3.468796511060916,265.59030699393753,39.22672915655525,77.7855230103839,79.78098437746422,70.73412702410445,4.389001073892694,3.649275603779961,0.0,58.18596629649992,143.13322250763358,2.280406457755814,20.58963798115198,9.728539484044706,53.118538262983215,ESTP,3,3,2,3,5,3.785699801655302,3.2776578812717125,1.0,1
3,9119.221345251732,75.59630369920174,48.11370118500058,6.503673359894027,3.5180168720444467,104.5228192843982,31.448495410643876,277.17965199111563,99.65750255278029,64.98689912135545,3.8052378779097142,4.666129758621963,2.8444098882450737,4.724930802870812,338.83419478055686,2.3385769271525487,6.315117289004632,14.439087573313255,141.48138286483152,ENFP,3,2,5,4,3,1.0,2.734736237358703,1.0,0
4,11307.574641020063,68.53063222294426,55.3805770554144,9.265225188808229,3.9726303458434056,280.38917699582754,41.300104531471554,201.30207537186197,152.88390365106198,40.5750230903823,5.220836093892239,4.132777460705915,3.4166799532373306,22.00254573884616,224.74487231450405,2.868116876987708,13.06251270200046,8.82116497296166,64.57829849168016,ENFP,1,3,5,5,2,1.0,2.999093664598953,1.5922093521921146,0
5,6914.61656319166,81.9822331361359,31.595779995693213,7.667863749440509,2.1331416367191736,407.9394898186094,49.64624223222028,276.59661686915047,186.67139930183083,58.445775674722405,7.3943570629238256,4.626716287285931,3.531817316799262,41.29553666254427,358.4520734009714,1.8516696149079537,25.14280198672472,5.455549394609399,144.9733022467077,ENFJ,3,1,4,4,4,1.0,3.1041162144836427,1.1567112458188078,0
6,6914.6576076270485,78.9348538542175,63.19940561059408,5.397422117080131,4.09256727384733,167.0921457107846,75.92886215828462,282.1545353883863,144.2292398518144,48.44292425083085,3.457915685717591,2.682165703202636,3.8609921121561626,22.833374132890633,120.2429493663599,1.792191805092404,47.2769656757239,2.521240537933494,83.55331147715671,ESTP,1,3,5,1,5,2.5899986832294,2.0972843774084295,1.2689913464196516,0
7,11448.032038768479,83.95193220027733,60.01808213043336,7.583243547301165,1.0,445.8179181260711,46.97102403235744,348.6332048895326,116.10339250830619,57.973942270819265,7.001640995536828,2.3000715477365317,4.720879639618986,24.61020571952125,153.2026722489482,3.041971845285785,12.739705652055823,11.052191469641002,0.0,ESTP,5,5,2,1,5,1.4961167548785614,1.5606149783622563,1.0,0
8,9418.586822882273,81.35171801681969,47.74367053397714,5.143235213273962,2.8701154476361896,378.5329785301206,15.359357330760183,328.27629180969626,199.88070621826566,69.80004236133894,3.436655855306225,1.8946479716523015,3.429185121909298,36.253433423089064,53.42993877786821,2.022413154871221,32.07181165291099,9.989152502510958,41.05502557114378,ENFP,5,5,4,5,3,3.7562183522361106,3.378560116372217,1.2430766334761998,1
9,6326.31403516262,85.49552715319335,69.88868502648607,8.299229264664488,3.0117261575484555,231.89200136347546,83.501696162379,327.7257330088237,91.22981161690866,63.05150835874973,3.3047455750062316,2.9161553000796068,2.7638834357126387,61.23953329115433,95.2346558328342,1.54217878785376,15.0791532398486,6.416367306950813,74.17511747876294,INFJ,2,4,3,5,2,1.0,2.66806970346302,1.2312825722994911,0
10,8856.400108964912,69.64764788439432,74.06355206439838,6.4346504178185455,4.133326826071238,303.01644351945833,34.07274665962401,335.49362553329905,171.8551603020144,71.48090866397433,6.637189236686426,2.882113806046771,2.6848213106806087,36.43205557804639,312.1530518930001,2.008922034740078,21.657031338292036,13.104056502829192,182.09134142491467,ENFJ,1,2,5,5,5,1.0,2.8103970830656855,1.3379260591544146,0
